method,target,time,me,sem
IP,C21,0,0,0
IP,C21,1,3.1772082271267967,0.7722007860327258
IP,C21,2,9.185592102188364,2.7413412581666985
IP,C21,3,10.219195910164549,3.1857238401089956
IP,C21,4,7.900328236617976,3.8755464053779822
IP,C21,5,10.4079409533602,3.198617333955567
IP,C21,6,0.7675631756623154,0.5465889554659021
IP,DCZ,0,0,0
IP,DCZ,1,63.43075411833563,35.04711477251829
IP,DCZ,2,71.70507480259712,40.540201683540346
IP,DCZ,3,31.385944436268055,11.204392068649234
IP,DCZ,4,15.256580951435643,8.266931671319046
IP,DCZ,5,25.815538267235745,9.6144967250866
IP,DCZ,6,0.8359887599300405,0.22057628274760493
IP,DCZ-n-oxide,0,0,0
IP,DCZ-n-oxide,1,2.9140327877364003,1.0264518472291635
IP,DCZ-n-oxide,2,6.136342986202152,2.2694871695472623
IP,DCZ-n-oxide,3,2.7420464428031828,0.7873261278545822
IP,DCZ-n-oxide,4,2.149018055321193,1.373603293098482
IP,DCZ-n-oxide,5,2.2999117353097702,0.9801690108348751
IP,DCZ-n-oxide,6,0,0
PO,C21,0,0,0
PO,C21,1,0.24806491391428456,0.24806491391428456
PO,C21,2,3.421677997361164,2.0065381069584074
PO,C21,3,11.444241119096322,3.7823444247086586
PO,C21,4,14.565724619184405,4.487620127502468
PO,C21,5,24.689649221831147,6.357432879162567
PO,C21,6,2.5741228748206924,0.8941301340465907
PO,DCZ,0,0,0
PO,DCZ,1,16.274827240398537,5.650293819394953
PO,DCZ,2,19.295339341271664,8.419730815404561
PO,DCZ,3,27.47553641899038,12.736307872467412
PO,DCZ,4,30.085327327676794,15.918764252868648
PO,DCZ,5,55.77251522235419,21.643662485696435
PO,DCZ,6,5.668808121327041,3.903585890740033
PO,DCZ-n-oxide,0,0,0
PO,DCZ-n-oxide,1,0.0932944795628302,0.0932944795628302
PO,DCZ-n-oxide,2,1.7141846549240016,0.8991496048803241
PO,DCZ-n-oxide,3,4.291546059890188,1.4333547441236159
PO,DCZ-n-oxide,4,4.7864124297452015,1.5005976522543925
PO,DCZ-n-oxide,5,6.3034617930712225,1.5541929821484153
PO,DCZ-n-oxide,6,0,0
